,year,country,share_global_co2,population,hdi,life_expectancy
4603,1900,China,,401579661.0,0.04,0.0
4604,1901,China,,403786465.0,0.0,0.0
4605,1902,China,0.0,406042669.0,0.0,0.0
4606,1903,China,0.09,408348748.0,0.0,0.0
4607,1904,China,0.09,410667922.0,0.0,0.0
4608,1905,China,0.09,413000265.0,0.0,0.0
4609,1906,China,0.67,415345852.0,0.0,0.0
4610,1907,China,0.58,417704759.0,0.0,0.0
4611,1908,China,0.82,420077060.0,0.0,0.0
4612,1909,China,0.72,422922872.0,0.0,0.0
4613,1910,China,0.62,426250021.0,0.0,0.0
4614,1911,China,0.9,430066435.0,0.0,0.0
4615,1912,China,0.3,434380144.0,0.0,0.0
4616,1913,China,0.31,439199283.0,0.04,0.0
4617,1914,China,0.48,444071884.0,0.0,0.0
4618,1915,China,0.51,448998541.0,0.0,0.0
4619,1916,China,0.53,453979853.0,0.0,0.0
4620,1917,China,0.56,459016426.0,0.0,0.0
4621,1918,China,0.6,464075232.0,0.0,0.0
4622,1919,China,0.8,468480579.0,0.0,0.0
4623,1920,China,0.76,472222750.0,0.0,0.0
4624,1921,China,0.82,475291915.0,0.0,0.0
4625,1922,China,0.83,477678125.0,0.0,0.0
4626,1923,China,0.88,479371311.0,0.0,0.0
4627,1924,China,0.96,481070499.0,0.0,0.0
4628,1925,China,0.89,482775710.0,0.05,0.0
4629,1926,China,0.81,484486965.0,0.0,0.0
4630,1927,China,0.84,486204286.0,0.0,0.0
4631,1928,China,0.86,487927695.0,0.0,0.0
4632,1929,China,0.84,489891377.0,0.07,0.0
4633,1930,China,0.97,492097572.0,0.0,32.0
4634,1931,China,1.15,494548536.0,0.0,0.0
4635,1932,China,1.22,497246541.0,0.0,0.0
4636,1933,China,1.27,500193876.0,0.08,0.0
4637,1934,China,1.36,503158681.0,0.0,34.0
4638,1935,China,1.52,506141059.0,0.0,0.0
4639,1936,China,1.56,509141114.0,0.0,35.0
4640,1937,China,1.36,512158952.0,0.0,0.0
4641,1938,China,1.32,515194677.0,0.09,0.0
4642,1939,China,1.51,518180790.0,0.0,0.0
4643,1940,China,1.77,521116640.0,0.0,0.0
4644,1941,China,2.17,524001569.0,0.0,0.0
4645,1942,China,2.3,526834916.0,0.0,37.0
4646,1943,China,1.93,529616012.0,0.0,0.0
4647,1944,China,1.91,532411789.0,0.0,0.0
4648,1945,China,1.19,535222325.0,0.0,0.0
4649,1946,China,0.67,538047697.0,0.0,0.0
4650,1947,China,0.65,540887984.0,0.0,0.0
4651,1948,China,0.44,543743264.0,0.0,0.0
4652,1949,China,1.13,548239920.0,0.0,41.0
4653,1950,China,1.31,554419269.0,0.12,42.97
4654,1951,China,1.6,569909108.0,0.0,43.264
4655,1952,China,1.98,582576497.0,0.0,43.772
4656,1953,China,2.01,593365882.0,0.0,44.123
4657,1954,China,2.37,603052316.0,0.0,44.315
4658,1955,China,2.56,612241552.0,0.16,44.356
4659,1956,China,2.72,621363233.0,0.0,44.268
4660,1957,China,3.12,630677648.0,0.0,44.082
4661,1958,China,6.23,640295777.0,0.0,43.858
4662,1959,China,8.13,650212731.0,0.0,43.7
4663,1960,China,8.51,660408054.0,0.15,43.725
4664,1961,China,6.06,670952701.0,0.0,44.051
4665,1962,China,4.71,682102654.0,0.0,44.783
4666,1963,China,4.45,694339084.0,0.0,45.972
4667,1964,China,4.25,708254602.0,0.0,47.592
4668,1965,China,4.42,724218970.0,0.23,49.549
4669,1966,China,4.63,742414887.0,0.0,51.696
4670,1967,China,3.76,762581176.0,0.0,53.847
4671,1968,China,3.84,784074715.0,0.0,55.843
4672,1969,China,4.41,805985941.0,0.0,57.603
4673,1970,China,5.42,827601385.0,0.25,59.085
4674,1971,China,5.87,848759709.0,0.0,60.303
4675,1972,China,5.97,869485962.0,0.0,61.344
4676,1973,China,5.9,889485368.0,0.0,62.281
4677,1974,China,6.04,908464206.0,0.0,63.134
4678,1975,China,6.94,926240889.0,0.28,63.915
4679,1976,China,6.82,942685412.0,0.0,64.631
4680,1977,China,7.25,957891271.0,0.0,65.278
4681,1978,China,7.83,972205441.0,0.0,65.857
4682,1979,China,7.78,986132214.0,0.0,66.377
4683,1980,China,7.67,1000089228.0,0.29,66.844
4684,1981,China,7.76,1014022211.0,0.0,67.26
4685,1982,China,8.51,1027948989.0,0.0,67.627
4686,1983,China,8.92,1042431401.0,0.0,67.949
4687,1984,China,9.39,1058171973.0,0.0,68.231
4688,1985,China,9.83,1075589363.0,0.3,68.473
4689,1986,China,10.2,1095014106.0,0.0,68.673
4690,1987,China,10.62,1116095475.0,0.0,68.831
4691,1988,China,10.98,1137724234.0,0.0,68.954
4692,1989,China,11.0,1158357393.0,0.0,69.054
4693,1990,China,10.92,1176883681.0,0.31,69.145
4694,1991,China,11.21,1192897277.0,0.0,69.242
4695,1992,China,12.1,1206711243.0,0.0,69.355
4696,1993,China,12.81,1218817059.0,0.0,69.496
4697,1994,China,13.5,1230020026.0,0.0,69.67
4698,1995,China,14.32,1240920539.0,0.35,69.885
4699,1996,China,14.5,1251636178.0,0.0,70.14
4700,1997,China,14.44,1261996017.0,0.0,70.428
4701,1998,China,13.88,1271982349.0,0.0,70.737
4702,1999,China,13.66,1281514833.0,0.0,71.063
4703,2000,China,13.63,1290550767.0,0.39,71.397
7422,1941,Ethiopia,0.0,17888877.0,0.0,0.0
7423,1942,Ethiopia,0.0,17888877.0,0.0,0.0
7424,1943,Ethiopia,0.0,17888877.0,0.0,0.0
7425,1944,Ethiopia,,17888877.0,0.0,0.0
7426,1945,Ethiopia,,17888877.0,0.0,0.0
7427,1946,Ethiopia,,17888877.0,0.0,0.0
7428,1947,Ethiopia,,17888877.0,0.0,0.0
7429,1948,Ethiopia,0.0,17888877.0,0.0,0.0
7430,1949,Ethiopia,0.0,17968011.0,0.0,0.0
7431,1950,Ethiopia,0.0,18128030.0,0.04,33.3
7432,1951,Ethiopia,0.0,18466973.0,0.0,33.468
7433,1952,Ethiopia,0.0,18819701.0,0.0,33.833
7434,1953,Ethiopia,0.0,19184288.0,0.0,34.249
7435,1954,Ethiopia,0.0,19560012.0,0.0,34.718
7436,1955,Ethiopia,0.0,19947291.0,0.04,35.238
7437,1956,Ethiopia,0.0,20347810.0,0.0,35.807
7438,1957,Ethiopia,0.0,20764450.0,0.0,36.421
7439,1958,Ethiopia,0.0,21201028.0,0.0,37.071
7440,1959,Ethiopia,0.0,21661994.0,0.0,37.742
7441,1960,Ethiopia,0.0,22151284.0,0.05,38.419
7442,1961,Ethiopia,0.0,22671193.0,0.0,39.082
7443,1962,Ethiopia,0.0,23221385.0,0.0,39.711
7444,1963,Ethiopia,0.0,23798418.0,0.0,40.29
7445,1964,Ethiopia,0.0,24397010.0,0.0,40.81
7446,1965,Ethiopia,0.01,25013634.0,0.06,41.267
7447,1966,Ethiopia,0.01,25641040.0,0.0,41.668
7448,1967,Ethiopia,0.01,26280135.0,0.0,42.026
7449,1968,Ethiopia,0.01,26944386.0,0.0,42.355
7450,1969,Ethiopia,0.01,27652715.0,0.0,42.659
7451,1970,Ethiopia,0.01,28415080.0,0.08,42.944
7452,1971,Ethiopia,0.01,29248650.0,0.0,43.213
7453,1972,Ethiopia,0.01,30140799.0,0.0,43.465
7454,1973,Ethiopia,0.01,31036670.0,0.0,43.693
7455,1974,Ethiopia,0.01,31861353.0,0.0,43.894
