country,year,share_global_co2,population,share_of_population
China,1900,0.0,401579661.0,24.37649853176179
China,1901,0.0,403786465.0,24.342293213349205
China,1902,0.0,406042669.0,24.276654063054178
China,1903,0.09,408348748.0,24.205432631556107
China,1904,0.09,410667922.0,24.1335497021685
China,1905,0.09,413000265.0,24.060981601743773
China,1906,0.67,415345852.0,23.987704487361597
China,1907,0.58,417704759.0,23.913433671675424
China,1908,0.82,420077060.0,23.83821420127662
China,1909,0.72,422922872.0,23.798916640965338
China,1910,0.62,426250021.0,23.76871764256587
China,1911,0.9,430066435.0,23.827442325437943
China,1912,0.3,434380144.0,23.893416164812685
China,1913,0.31,439199283.0,23.99391399933573
China,1914,0.48,444071884.0,24.093335855685343
China,1915,0.51,448998541.0,24.19239615248334
China,1916,0.53,453979853.0,24.291916828507954
China,1917,0.56,459016426.0,24.391723639974344
China,1918,0.6,464075232.0,24.48897946133129
China,1919,0.8,468480579.0,24.54005791229647
China,1920,0.76,472222750.0,24.51554761529582
China,1921,0.82,475291915.0,24.504789555221716
China,1922,0.83,477678125.0,24.421526234293324
China,1923,0.88,479371311.0,24.29586518408716
China,1924,0.96,481070499.0,24.16933977359717
China,1925,0.89,482775710.0,24.041991384837026
China,1926,0.81,484486965.0,23.91411780118469
China,1927,0.84,486204286.0,23.785772854710856
China,1928,0.86,487927695.0,23.656596010744344
China,1929,0.84,489891377.0,23.533423045851848
China,1930,0.97,492097572.0,23.387918901521033
China,1931,1.15,494548536.0,23.303835282253935
China,1932,1.22,497246541.0,23.19768955469585
China,1933,1.27,500193876.0,23.09787753359828
China,1934,1.36,503158681.0,22.997998873127095
China,1935,1.52,506141059.0,22.898031517705007
China,1936,1.56,509141114.0,22.797015563674382
China,1937,1.36,512158952.0,22.6953222449577
China,1938,1.32,515194677.0,22.592859846582712
China,1939,1.51,518180790.0,22.49930925384897
China,1940,1.77,521116640.0,22.39091271906953
China,1941,2.17,524001569.0,22.34749792579803
China,1942,2.3,526834916.0,22.286805217916346
China,1943,1.93,529616012.0,22.236339846481837
China,1944,1.91,532411789.0,22.18696843509392
China,1945,1.19,535222325.0,22.14028674529312
China,1946,0.67,538047697.0,22.095973631001883
China,1947,0.65,540887984.0,22.04066351033034
China,1948,0.44,543743264.0,21.972548993824816
China,1949,1.13,548239920.0,21.922390743552427
China,1950,1.31,554419269.0,21.85673734765808
China,1951,1.6,569909108.0,22.05501393624538
China,1952,1.98,582576497.0,22.14394240705519
China,1953,2.01,593365882.0,22.16028811247012
China,1954,2.37,603052316.0,22.13160486103242
China,1955,2.56,612241552.0,22.078512624024917
China,1956,2.72,621363233.0,22.01508329138407
China,1957,3.12,630677648.0,21.949546478090028
China,1958,6.23,640295777.0,21.8853160803161
China,1959,8.13,650212731.0,21.82232303502505
China,1960,8.51,660408054.0,21.758589821773427
China,1961,6.06,670952701.0,21.700732902488628
China,1962,4.71,682102654.0,21.65116046964189
China,1963,4.45,694339084.0,21.623758346945934
China,1964,4.25,708254602.0,21.6328436958035
China,1965,4.42,724218970.0,21.68590688174943
China,1966,4.63,742414887.0,21.784968956293472
China,1967,3.76,762581176.0,21.92099948086768
China,1968,3.84,784074715.0,22.076665176130707
China,1969,4.41,805985941.0,22.229918986330315
China,1970,5.42,827601385.0,22.36346065182543
