Country,Y1860,Y1865,Y1870,Y1875,Y1880,Y1885,Y1890,Y1895,Y1900,Y1905,Y1910,Y1915,Y1920,Y1925,Y1930,Y1935,Y1940,Y1945,Y1950,Y1955,Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,3.0,,,6.4,,12.2,19.5,,27.1,31.5,35.9,,45.4,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,24.6,72.5,71.5,,,,,,,,,98.7,,95.9,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,17.5,19.0,10.4,18.8,26.4,,39.1,49.6,54.6,61.6,69.9,72.6,77.2,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,3.0,,,,,,,35.7,41.7,,67.4,,70.1,,,,,,,,,,,,
Argentina,,,,,,,,46.7,,,,64.9,,,,,,86.4,87.5,,91.4,,92.6,,93.9,,95.6,96.2,96.6,,97.3,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,99.4,,99.6,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,98.5,,99.0,,99.0,,99.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,88.5,,92.0,,94.0,,97.0,,97.0,,98.0,,98.0,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,99.6,99.8,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,21.6,,,25.8,29.5,,35.3,38.1,47.5,,56.8,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,99.0,,99.8,,,,97.9,,99.6,,99.6,,,,,,,,,,,,
Belgium,,59.4,,,69.4,,74.5,,80.4,,86.6,,92.2,,94.1,,,96.7,96.5,,,,97.2,,98.1,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,81.1,,,86.6,,,,,,70.3,,76.9,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,4.6,,,,16.5,,27.2,37.0,34.7,,42.4,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,3.0,,,,,,28.0,,37.2,42.2,47.3,47.0,57.6,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,32.1,,38.8,,,63.2,69.5,,80.0,83.1,86.7,90.7,91.2,,,,,,,,,,,,
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,97.9,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,20.5,22.5,,,32.7,41.0,,55.5,,68.6,69.8,81.2,,84.5,,,,,,,,,,,,
Brazil,,,,,,,,,34.7,,,,35.1,,,,43.9,,49.4,,61.0,,66.2,75.7,74.6,,81.0,83.3,86.4,89.6,90.3,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,27.4,27.5,,42.6,,63.9,,77.8,,87.8,88.2,92.7,,95.2,,,,,,,,,,,,
Bulgaria,,,,,,,,,29.6,34.5,42.2,,53.3,60.3,,68.6,,75.8,77.5,85.7,,90.6,,,93.1,,95.2,,98.2,,98.5,,,,,,,,,,,,
Burkina,,,,,,,,,,,,,,,,,,,,,,,,8.7,11.4,,13.6,12.8,21.8,23.6,28.7,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,13.9,,,,22.5,,37.4,35.3,59.3,,67.2,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,67.3,73.6,73.9,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,7.5,,18.9,,,41.2,44.0,,57.0,63.4,68.4,70.7,79.0,,,,,,,,,,,,
Canada,,,,,,,,,82.9,,89.0,,94.3,,95.7,,,,97.5,,98.0,,98.0,,98.5,,99.0,,99.0,,99.0,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,7.5,,2.1,,,18.2,33.0,,33.6,60.0,50.6,,56.0,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,3.0,,,5.6,,,32.7,,42.7,48.1,53.5,,63.6,,,,,,,,,,,,
Chile,,,,,,,,,,51.1,,,64.0,,75.6,,72.9,,80.1,,83.6,,89.0,,91.1,,94.3,95.2,95.7,,98.6,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,47.5,,,,,,65.5,,77.8,81.5,90.9,,94.3,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,42.4,,51.6,,55.8,,52.5,62.3,62.5,62.9,,81.8,86.9,,89.6,91.2,92.6,92.3,93.4,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,22.5,,,58.4,,,47.9,,54.4,57.3,60.3,,65.8,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,,,,,,15.6,,,,51.5,,67.8,74.9,81.0,83.8,90.1,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,65.7,,,,,79.4,,,84.0,,88.4,91.5,92.6,93.9,94.8,94.9,,96.2,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,98.1,,98.8,,,,,,,,,,,,
Cuba,,,,,,,,,43.1,,56.4,,61.3,,71.8,,,66.4,77.5,78.9,,,,,89.2,,94.3,95.7,99.8,,99.8,,,,,,,,,,,,
Cyprus,,,,,,,,,,,25.5,,35.1,,46.3,,,60.5,62.5,,75.9,,,,,,94.4,,96.8,,98.3,,,,,,,,,,,,
